ID,AGENCY_CODE,PROJ_CODE,S_ID,O_ID,H_NO,O_LATITUDE_GDA,O_LONGITUDE_GDA,O_WA_SOILGRP_CODE,H_TEXTURE,P_HCO3_,P_HCO3_1,P_HCO3_2,P_HCO3_3,P_HCO3_4,P_any_,P_buff_,P_buff_1,P_buff_2,P_buffany,ENT_DESC,PROP_DESC,LAND_USE_DESCRIPTION,LU_SEL
501_DAN_0837_1,501,DAN,0837,1,1,-30.311064,115.572895,403,LFS,10,,,,,10,,,,,Agricultural,Rural,CATTLE,2
501_DAN_0837_1,501,DAN,0837,1,2,-30.311064,115.572895,403,LFS,15,,,,,15,,,,,Agricultural,Rural,CATTLE,2
501_DAN_0837_1,501,DAN,0837,1,3,-30.311064,115.572895,403,FSCL,39,,,,,39,,,,,Agricultural,Rural,CATTLE,2
501_DAN_0837_1,501,DAN,0837,1,4,-30.311064,115.572895,403,FSCL,2,,,,,2,,,,,Agricultural,Rural,CATTLE,2
501_DAN_0837_1,501,DAN,0837,1,5,-30.311064,115.572895,403,SLC,1,,,,,1,,,,,Agricultural,Rural,CATTLE,2
501_DAN_0839_1,501,DAN,0839,1,4,-30.216465,115.592642,446,CFS,1,,,,,1,,,,,Agricultural,Rural,,2
501_DAN_0839_1,501,DAN,0839,1,2,-30.216465,115.592642,446,WCS,1,,,,,1,,,,,Agricultural,Rural,,2
501_DAN_0839_1,501,DAN,0839,1,1,-30.216465,115.592642,446,WCS,9,,,,,9,,,,,Agricultural,Rural,,2
501_DAN_0839_1,501,DAN,0839,1,4,-30.216465,115.592642,446,CFS,1,,,,,1,,,,,Agricultural,Rural,,2
501_DAN_0839_1,501,DAN,0839,1,3,-30.216465,115.592642,446,LFS,1,,,,,1,,,,,Agricultural,Rural,,2
501_DAN_0841_1,501,DAN,0841,1,1,-30.216761,115.62391,444,WCFS,2,,,,,2,,,,,Agricultural,Rural,,2
501_DAN_0841_1,501,DAN,0841,1,2,-30.216761,115.62391,444,VWCFS,2,,,,,2,,,,,Agricultural,Rural,,2
501_DAN_0841_1,501,DAN,0841,1,3,-30.216761,115.62391,444,LFS,1,,,,,1,,,,,Agricultural,Rural,,2
501_DAN_0841_1,501,DAN,0841,1,4,-30.216761,115.62391,444,CFS,1,,,,,1,,,,,Agricultural,Rural,,2
501_DAN_0841_1,501,DAN,0841,1,7,-30.216761,115.62391,444,CFS,1,,,,,1,,,,,Agricultural,Rural,,2
501_DAN_0841_1,501,DAN,0841,1,9,-30.216761,115.62391,444,GR,1,,,,,1,,,,,Agricultural,Rural,,2
501_DAN_0841_1,501,DAN,0841,1,10,-30.216761,115.62391,444,GR,1,,,,,1,,,,,Agricultural,Rural,,2
501_DAN_0844_1,501,DAN,0844,1,1,-30.215692,115.624361,301,LFS,12,,,,,12,,,,,Agricultural,Rural,,2
501_DAN_0844_1,501,DAN,0844,1,6,-30.215692,115.624361,301,,1,,,,,1,,,,,Agricultural,Rural,,2
501_DAN_0844_1,501,DAN,0844,1,5,-30.215692,115.624361,301,WCKS,1,,,,,1,,,,,Agricultural,Rural,,2
501_DAN_0844_1,501,DAN,0844,1,4,-30.215692,115.624361,301,GR,1,,,,,1,,,,,Agricultural,Rural,,2
501_DAN_0844_1,501,DAN,0844,1,2,-30.215692,115.624361,301,GR,3,,,,,3,,,,,Agricultural,Rural,,2
501_DAN_0844_1,501,DAN,0844,1,3,-30.215692,115.624361,301,GR,2,,,,,2,,,,,Agricultural,Rural,,2
501_DAN_0845_1,501,DAN,0845,1,1,-30.30407,115.583572,302,LFS,61,,,,,61,,,,,Agricultural,Rural,WHEAT,2
501_DAN_0845_1,501,DAN,0845,1,2,-30.30407,115.583572,302,LFS,34,,,,,34,,,,,Agricultural,Rural,WHEAT,2
501_DAN_0845_1,501,DAN,0845,1,3,-30.30407,115.583572,302,GR,3,,,,,3,,,,,Agricultural,Rural,WHEAT,2
501_DAN_0845_1,501,DAN,0845,1,4,-30.30407,115.583572,302,FSCL,1,,,,,1,,,,,Agricultural,Rural,WHEAT,2
501_DAN_0845_1,501,DAN,0845,1,4,-30.30407,115.583572,302,FSCL,1,,,,,1,,,,,Agricultural,Rural,WHEAT,2
501_DAN_0845_1,501,DAN,0845,1,1,-30.30407,115.583572,302,LFS,61,,,,,61,,,,,Agricultural,Rural,OTHER GRAIN CROPS,2
501_DAN_0845_1,501,DAN,0845,1,2,-30.30407,115.583572,302,LFS,34,,,,,34,,,,,Agricultural,Rural,OTHER GRAIN CROPS,2
501_DAN_0845_1,501,DAN,0845,1,3,-30.30407,115.583572,302,GR,3,,,,,3,,,,,Agricultural,Rural,OTHER GRAIN CROPS,2
501_DAN_0845_1,501,DAN,0845,1,4,-30.30407,115.583572,302,FSCL,1,,,,,1,,,,,Agricultural,Rural,OTHER GRAIN CROPS,2
501_DAN_0845_1,501,DAN,0845,1,4,-30.30407,115.583572,302,FSCL,1,,,,,1,,,,,Agricultural,Rural,OTHER GRAIN CROPS,2
501_DAN_0845_1,501,DAN,0845,1,1,-30.30407,115.583572,302,LFS,61,,,,,61,,,,,Agricultural,Rural,SHEEP,2
